#p (bar)	T (K)
2.154E-01	1.850E+03
4.642E-01	1.850E+03
1.000E+00	1.850E+03
2.154E+00	1.850E+03
4.642E+00	1.850E+03
1.000E+01	1.850E+03
2.154E+01	1.850E+03
4.642E+01	1.850E+03
1.000E+02	1.850E+03
2.154E+02	1.850E+03
4.642E+02	1.850E+03
1.000E+03	1.850E+03
1.000E-06	1.900E+03
2.154E-06	1.900E+03
4.642E-06	1.900E+03
1.000E-05	1.900E+03
2.154E-05	1.900E+03
4.642E-05	1.900E+03
1.000E-04	1.900E+03
2.154E-04	1.900E+03
4.642E-04	1.900E+03
1.000E-03	1.900E+03
2.154E-03	1.900E+03
4.642E-03	1.900E+03
1.000E-02	1.900E+03
2.154E-02	1.900E+03
4.642E-02	1.900E+03
1.000E-01	1.900E+03
2.154E-01	1.900E+03
4.642E-01	1.900E+03
1.000E+00	1.900E+03
2.154E+00	1.900E+03
4.642E+00	1.900E+03
1.000E+01	1.900E+03
2.154E+01	1.900E+03
4.642E+01	1.900E+03
1.000E+02	1.900E+03
2.154E+02	1.900E+03
4.642E+02	1.900E+03
1.000E+03	1.900E+03
1.000E-06	1.950E+03
2.154E-06	1.950E+03
4.642E-06	1.950E+03
1.000E-05	1.950E+03
2.154E-05	1.950E+03
4.642E-05	1.950E+03
1.000E-04	1.950E+03
2.154E-04	1.950E+03
4.642E-04	1.950E+03
1.000E-03	1.950E+03
2.154E-03	1.950E+03
4.642E-03	1.950E+03
1.000E-02	1.950E+03
2.154E-02	1.950E+03
4.642E-02	1.950E+03
1.000E-01	1.950E+03
2.154E-01	1.950E+03
4.642E-01	1.950E+03
1.000E+00	1.950E+03
2.154E+00	1.950E+03
4.642E+00	1.950E+03
1.000E+01	1.950E+03
2.154E+01	1.950E+03
4.642E+01	1.950E+03
1.000E+02	1.950E+03
2.154E+02	1.950E+03
4.642E+02	1.950E+03
1.000E+03	1.950E+03
