#Pressure (bar)	Temp (K)
1.4	2400.0
1.21920445123833	2307.0322809829536
1.0617567813709694	2217.665810623921
0.9246418528428344	2131.761088975673
0.8052339019908861	2049.184019837605
0.7012462554252125	1969.8057014332367
0.6106875400204499	1893.5022251961445
0.5318235479347988	1820.1544823502336
0.46314402636819146	1749.6479779824192
0.4033337560803868	1681.8726523174973
0.35124736481991603	1616.7227089162025
0.3058873933386965	1554.096449528286
0.2663851939544491	1493.8961153428131
0.23198429586660727	1436.0277343878765
0.2020259186699694	1380.4009748415192
0.17593635664852825	1326.9290040248845
0.15321599225752855	1275.5283528574867
0.13342972840091166	1226.1187855630155
0.11619865628136637	1178.6231744222887
0.10119279926153901	1132.9673793778427
0.08812479378066797	1132.9673793778427
0.07674438631560732	1132.9673793778427
0.0668336410025303	1132.9673793778427
0.05820276614482107	1132.9673793778427
0.050686479684392445	1132.9673793778427
0.04414084403486604	1132.9673793778427
0.0384405096633754	1132.9673793778427
0.033476314635326666	1132.9673793778427
0.02915319415317507	1132.9673793778427
0.025388360056690217	1132.9673793778427
0.022109715421970093	1132.9673793778427
0.019254473898627635	1132.9673793778427
0.016767957345327898	1132.9673793778427
0.014602548738284446	1132.9673793778427
0.01271678030081504	1132.9673793778427
0.011074539391552575	1132.9673793778427
0.009644376943996525	1132.9673793778427
0.008398905213957775	1132.9673793778427
0.007314273301704383	1132.9673793778427
0.00636971040500833	1132.9673793778427
0.005547128056346615	1132.9673793778427
0.004830773727062009	1132.9673793778427
0.0042069291649708416	1132.9673793778427
0.003663647688554858	1132.9673793778427
0.0031905254068965013	1132.9673793778427
0.0027785019841979988	1132.9673793778427
0.002419687133506237	1132.9673793778427
0.0021072095169820857	1132.9673793778427
0.0018350851591402357	1132.9673793778427
0.001598102853160839	1132.9673793778427
0.0013917243657931215	1132.9673793778427
0.0012119975297655826	1132.9673793778427
0.0010554805594143277	1132.9673793778427
0.0009191761401667649	1132.9673793778427
0.0008004740296881335	1132.9673793778427
0.0006971010714974682	1132.9673793778427
0.0006070776638090869	1132.9673793778427
0.0005286798499738609	1132.9673793778427
0.00046040630454867405	1132.9673793778427
0.00040094958277423826	1132.9673793778427
0.0003491710828860733	1132.9673793778427
0.0003040792417845774	1132.9673793778427
0.00026481054650923796	1132.9673793778427
0.00023061299788494126	1132.9673793778427
0.00020083170966766855	1132.9673793778427
0.00017489636741187532	1132.9673793778427
0.00015231030689569485	1132.9673793778427
0.00013264100295479092	1132.9673793778427
0.00011551178658514111	1132.9673793778427
0.00010059463169649719	1132.9673793778427
8.760387338217841e-05	1132.9673793778427
7.629073740947927e-05	1132.9673793778427
6.643857616992265e-05	1132.9673793778427
5.78587198573618e-05	1132.9673793778427
5.038686342360505e-05	1132.9673793778427
4.3879920121426484e-05	1132.9673793778427
3.821328138001823e-05	1132.9673793778427
3.327843053924359e-05	1132.9673793778427
2.8980864745479545e-05	1132.9673793778427
2.5238285213160467e-05	1132.9673793778427
2.197902119536269e-05	1132.9673793778427
1.9140657482319812e-05	1132.9673793778427
1.6668839144337544e-05	1132.9673793778427
1.4516230629822893e-05	1132.9673793778427
1.2641609285058756e-05	1132.9673793778427
1.1009075936542455e-05	1132.9673793778427
9.587367418466677e-06	1132.9673793778427
8.349257880179936e-06	1132.9673793778427
7.271037408608629e-06	1132.9673793778427
6.332057981211466e-06	1132.9673793778427
5.514338054423009e-06	1132.9673793778427
4.802218215418175e-06	1132.9673793778427
4.182061302896878e-06	1132.9673793778427
3.641991254173888e-06	1132.9673793778427
3.1716656774713374e-06	1132.9673793778427
2.762077794152063e-06	1132.9673793778427
2.405383958069102e-06	1132.9673793778427
2.094753449010801e-06	1132.9673793778427
1.8242376637720095e-06	1132.9673793778427
1.5886561998481756e-06	1132.9673793778427
1.3834976502444754e-06	1132.9673793778427
1.2048332096113106e-06	1132.9673793778427
1.049241437255624e-06	1132.9673793778427
9.137427362326856e-07	1132.9673793778427
7.95742293786844e-07	1132.9673793778427
6.929803904453708e-07	1132.9673793778427
6.034891261799085e-07	1132.9673793778427
5.255547349374819e-07	1132.9673793778427
4.576847658608276e-07	1132.9673793778427
3.9857950271535274e-07	1132.9673793778427
3.4710707420208434e-07	1132.9673793778427
3.022817785167818e-07	1132.9673793778427
2.6324520706849903e-07	1132.9673793778427
2.2924980587504994e-07	1132.9673793778427
1.9964455983455996e-07	1132.9673793778427
1.7386252572558044e-07	1132.9673793778427
1.514099751915474e-07	1132.9673793778427
1.3185693979672835e-07	1132.9673793778427
1.1482897709059693e-07	1132.9673793778427
1e-07	1132.9673793778427
