#Solar element abundances based on Asplund et al. (2020), A&A, 653, A141
e-  0
Al  0
Ar  0
C   8.46
Ca  0
Cl  0
Co  0
Cr  0
Cu  0
F   0
Fe  0
Ge  0
H   12.00
He  10.914
K   0
Mg  0
Mn  0
N   7.83
Na  0
Ne  0
Ni  0
O   8.69
P   5.41
S   7.12
Si  0
Ti  0
V   0
Zn  0
